Protein Name,ChEMBL ID
Sodium/glucose cotransporter 1,CHEMBL4979
Sodium channel protein type IV alpha subunit,CHEMBL2072
Deoxyhypusine synthase,CHEMBL4415
Platelet-activating factor acetylhydrolase IB beta subunit,CHEMBL4463
Sodium channel protein type VII alpha subunit,CHEMBL3585
Sodium channel beta-1 subunit,CHEMBL5487
Platelet-activating factor acetylhydrolase IB gamma subunit,CHEMBL5108
Sodium channel protein type IX alpha subunit,CHEMBL4296
Proteinase activated receptor 4,CHEMBL4691
Sodium channel protein type II alpha subunit,CHEMBL4187
Sodium channel protein type III alpha subunit,CHEMBL5163
Sodium channel protein type XI alpha subunit,CHEMBL5167
Sodium channel protein type VIII alpha subunit,CHEMBL5202
Sodium channel protein type X alpha subunit,CHEMBL5451
"Inositol 1,4,5-trisphosphate 5-phosphatase",CHEMBL2636
Interleukin-1 receptor-associated kinase 1,CHEMBL3357
Interleukin-1 receptor-associated kinase 4,CHEMBL3778
Integrin alpha M,CHEMBL3826
Lysophosphatidic acid receptor Edg-7,CHEMBL3250
Calcitonin gene-related peptide type 1 receptor,CHEMBL3798
Melanin-concentrating hormone receptor 1,CHEMBL344
Vitamin K-dependent gamma-carboxylase,CHEMBL2012
Type I iodothyronine deiodinase (Type-I 5'-deiodinase) (DIOI) (Type 1 DI) (5DI),CHEMBL2019
Mixed lineage kinase 7,CHEMBL3886
Dual specificity phosphatase 22,CHEMBL3924
Serine/threonine-protein kinase Aurora-A,CHEMBL4722
Serine/threonine-protein kinase EEF2K,CHEMBL5026
Serine/threonine-protein kinase GAK,CHEMBL4355
Adrenomedullin receptor,CHEMBL4356
Serine/threonine-protein kinase RIPK2,CHEMBL5014
Phosphodiesterase 9A,CHEMBL3535
Cellular tumor antigen p53,CHEMBL4096
Cytochrome P450 2E1,CHEMBL5281
Fatty acid binding protein muscle,CHEMBL3344
Heat shock protein HSP 60,CHEMBL4721
Cytochrome P450 2A6,CHEMBL5282
Folate receptor beta,CHEMBL5064
Cytochrome P450 2B6,CHEMBL4729
Sodium/glucose cotransporter 2,CHEMBL3884
Hexokinase type IV,CHEMBL3820
CDK-interacting protein 1,CHEMBL5021
LXR-beta,CHEMBL4093
11-beta-hydroxysteroid dehydrogenase 2,CHEMBL3746
Inhibitor of apoptosis protein 3,CHEMBL4198
p53-binding protein Mdm-2,CHEMBL5023
Fatty acid binding protein epidermal,CHEMBL3674
Serine-protein kinase ATM,CHEMBL3797
Serine-protein kinase ATR,CHEMBL5024
Large conductance calcium-activated potassium channel subfamily M beta member 1,CHEMBL5078
"Amine oxidase, copper containing",CHEMBL3437
Dipeptidyl peptidase VIII,CHEMBL4657
Dipeptidyl peptidase IX,CHEMBL4793
Caspase-10,CHEMBL5037
Melanin-concentrating hormone receptor 2,CHEMBL5038
Serine/threonine-protein kinase Aurora-C,CHEMBL3935
G protein-coupled receptor 44,CHEMBL5071
Adaptor-associated kinase,CHEMBL3830
MAP/microtubule affinity-regulating kinase 2,CHEMBL3831
CaM kinase II gamma,CHEMBL3829
Serine/threonine-protein kinase PLK4,CHEMBL3788
Serine/threonine-protein kinase 16,CHEMBL3938
Serine/threonine-protein kinase 17B,CHEMBL3980
Serine/threonine-protein kinase 10,CHEMBL3981
Tyrosine-protein kinase FER,CHEMBL3982
Ephrin type-A receptor 2,CHEMBL2068
Ephrin type-A receptor 3,CHEMBL4954
Ephrin type-A receptor 8,CHEMBL4134
Dual specificity protein kinase TTK,CHEMBL3983
Tyrosine-protein kinase FRK,CHEMBL4223
Dual specificty protein kinase CLK1,CHEMBL4224
Dual specificity protein kinase CLK2,CHEMBL4225
Dual specificity protein kinase CLK3,CHEMBL4226
Tyrosine-protein kinase BMX,CHEMBL3834
Serine/threonine-protein kinase NEK2,CHEMBL3835
LIM domain kinase 1,CHEMBL3836
Ephrin type-A receptor 5,CHEMBL3987
Ephrin type-B receptor 1,CHEMBL5072
Ephrin type-A receptor 4,CHEMBL3988
Serine/threonine-protein kinase PCTAIRE-1,CHEMBL4597
Tyrosine kinase non-receptor protein 2,CHEMBL4599
Serine/threonine-protein kinase MST1,CHEMBL4598
Serine/threonine-protein kinase PAK 1,CHEMBL4600
Tyrosine-protein kinase BRK,CHEMBL4601
Ephrin type-A receptor 7,CHEMBL4602
CaM kinase I delta,CHEMBL5073
CaM-kinase kinase alpha,CHEMBL5256
Serine/threonine-protein kinase NEK9,CHEMBL5257
CaM kinase I gamma,CHEMBL5258
CaM-kinase kinase beta,CHEMBL5284
Tyrosine- and threonine-specific cdc2-inhibitory kinase,CHEMBL3984
Mitogen-activated protein kinase kinase kinase 5,CHEMBL5285
Serine/threonine-protein kinase 2,CHEMBL4202
Dual specificity protein kinase CLK4,CHEMBL4203
MAP kinase signal-integrating kinase 2,CHEMBL4204
Serine/threonine-protein kinase NEK6,CHEMBL4309
Serine/threonine-protein kinase PAK6,CHEMBL4311
Serine/threonine-protein kinase 36,CHEMBL4312
BMP-2-inducible protein kinase,CHEMBL4522
Serine/threonine-protein kinase PIM2,CHEMBL4523
Serine/threonine-protein kinase PAK7,CHEMBL4524
Serine/threonine-protein kinase 17A,CHEMBL4525
Ephrin type-A receptor 6,CHEMBL4526
TRAF2- and NCK-interacting kinase,CHEMBL4527
Serine/threonine-protein kinase 38-like,CHEMBL4851
Mitogen-activated protein kinase kinase kinase kinase 5,CHEMBL4852
Mitogen-activated protein kinase kinase kinase 4,CHEMBL4853
Synaptic vesicle glycoprotein 2A,CHEMBL1998
Phosphodiesterase 8A,CHEMBL4640
Phosphodiesterase 8B,CHEMBL4408
Phosphodiesterase 10A,CHEMBL4409
GABA-B receptor 2,CHEMBL5034
Serine/threonine protein phosphatase PP2B-alpha catalytic subunit,CHEMBL5278
NF-kappa-B essential modulator,CHEMBL4967
Tyrosine-protein kinase FES,CHEMBL5455
Serine/threonine-protein kinase PAK 2,CHEMBL4487
TGF-beta receptor type II,CHEMBL4267
Cell division cycle 7-related protein kinase,CHEMBL5443
Tyrosine-protein kinase receptor RET,CHEMBL2041
Serine/threonine-protein kinase PAK 4,CHEMBL4482
Activator of S phase kinase DBF4,CHEMBL4483
Tyrosine-protein kinase BTK,CHEMBL5251
Serine/threonine-protein kinase WEE1,CHEMBL5491
Voltage-gated T-type calcium channel alpha-1G subunit,CHEMBL4641
Voltage-gated T-type calcium channel alpha-1I subunit,CHEMBL5558
Geranylgeranyl transferase type II alpha subunit,CHEMBL5249
Serine/threonine-protein kinase ILK-1,CHEMBL5247
Inositol-trisphosphate 3-kinase A,CHEMBL5164
Inositol-trisphosphate 3-kinase B,CHEMBL5165
RAS guanyl releasing protein 3,CHEMBL3638
Voltage-gated potassium channel subunit Kv1.6,CHEMBL5279
Voltage-gated potassium channel subunit Kv3.1,CHEMBL5529
ETS domain protein Elk-1,CHEMBL4453
Serine/threonine-protein kinase B-raf,CHEMBL5145
Tyrosine-protein kinase FGR,CHEMBL4454
Breakpoint cluster region protein,CHEMBL5146
Ephrin type-B receptor 4,CHEMBL5147
C-X3-C chemokine receptor 1,CHEMBL4843
Serine/threonine-protein kinase c-TAK1,CHEMBL5600
Nck adaptor protein 1,CHEMBL4846
Flap endonuclease 1,CHEMBL5027
DNA excision repair protein ERCC-5,CHEMBL4736
Cytochrome P450 26A1,CHEMBL5141
Eukaryotic translation initation factor,CHEMBL4848
Coagulation factor XIII,CHEMBL4530
ADAM12,CHEMBL5030
ADAM10,CHEMBL5028
Collagen-binding protein 1,CHEMBL5286
Galectin-3,CHEMBL4531
Alkaline phosphatase placental type,CHEMBL4458
Bile acid transporter,CHEMBL5287
L-type amino acid transporter 1,CHEMBL4459
L-type amino acid transporter 2,CHEMBL4301
L-type amino acid transporter 3,CHEMBL4148
Kinesin-like protein 1,CHEMBL4581
Proto-oncogene protein c-fos,CHEMBL5029
Nuclear factor NF-kappa-B p65 subunit,CHEMBL5533
Complement C3,CHEMBL4917
Fibroblast activation protein alpha,CHEMBL4683
Mannosyl-oligosaccharide glucosidase,CHEMBL4684
Monoglyceride lipase,CHEMBL4191
N-acylsphingosine-amidohydrolase,CHEMBL4349
Homeobox protein Brn-1,CHEMBL5243
Homeobox protein Brn-2,CHEMBL4189
Transcription factor E2F1,CHEMBL4382
Apoptosis regulator Bcl-X,CHEMBL4625
Hydroxyacid oxidase 1,CHEMBL4229
Prostaglandin E synthase 2,CHEMBL4411
Hyaluronidase-1,CHEMBL4528
S-100 protein beta chain,CHEMBL4300
Flavin reductase,CHEMBL5019
Gastric inhibitory polypeptide receptor,CHEMBL4383
"Thymidine kinase, mitochondrial",CHEMBL4580
"Guanine nucleotide-binding protein G(i), alpha-1 subunit",CHEMBL4741
"Guanine nucleotide-binding protein G(k), alpha-3 subunit",CHEMBL4221
"Guanine nucleotide-binding protein G(o), alpha subunit 1",CHEMBL4742
Apoptosis regulator Bcl-2,CHEMBL4860
dUTP pyrophosphatase,CHEMBL5203
"Beta-1,4-galactosyltransferase 1",CHEMBL4384
"Lymphocyte function-associated antigen 3, CD58",CHEMBL3790
Hypoxia-inducible factor 1 alpha,CHEMBL4261
Membrane-associated guanylate kinase-related 3,CHEMBL5212
Vasoactive intestinal polypeptide receptor 1,CHEMBL5144
Vasoactive intestinal polypeptide receptor 2,CHEMBL4532
Lipoxin A4 receptor,CHEMBL4227
Tyrosine-protein kinase receptor UFO,CHEMBL4895
PDZ-binding kinase,CHEMBL4896
Serine/threonine-protein kinase PLK3,CHEMBL4897
Neurotrophic tyrosine kinase receptor type 2,CHEMBL4898
Mitogen-activated protein kinase kinase kinase 8,CHEMBL4899
Serine/threonine-protein kinase D2,CHEMBL4900
Ephrin type-B receptor 3,CHEMBL4901
ALK tyrosine kinase receptor,CHEMBL4247
Tyrosine-protein kinase TEC,CHEMBL4246
Tyrosine-protein kinase TXK,CHEMBL4367
HM74 nicotinic acid GPCR,CHEMBL4421
Free fatty acid receptor 1,CHEMBL4422
C-C chemokine receptor type 6,CHEMBL4423
C-C chemokine receptor type 7,CHEMBL4594
C-C chemokine receptor type 8,CHEMBL4596
Nucleophosmin,CHEMBL5178
Toll-like receptor 4,CHEMBL5255
Serine racemase,CHEMBL4460
NAD-dependent deacetylase sirtuin 3,CHEMBL4461
NAD-dependent deacetylase sirtuin 2,CHEMBL4462
NAD-dependent deacetylase sirtuin 1,CHEMBL4506
High-affinity choline transporter,CHEMBL4507
Glutaminyl-peptide cyclotransferase,CHEMBL4508
Monocarboxylate transporter 1,CHEMBL4360
Induced myeloid leukemia cell differentiation protein Mcl-1,CHEMBL4361
Dipeptidyl peptidase III,CHEMBL4520
Cytochrome P450 24A1,CHEMBL4521
Apoptosis regulator Bcl-W,CHEMBL4677
Branched-chain-amino-acid transferase,CHEMBL4679
ADAMTS1,CHEMBL5133
Aldo-keto-reductase family 1 member C3,CHEMBL4681
Receptor-type tyrosine-protein phosphatase epsilon,CHEMBL4850
Protein-tyrosine phosphatase 4A3,CHEMBL4162
Toll-like receptor 2,CHEMBL4163
GABA transporter 2,CHEMBL4535
Hydroxycarboxylic acid receptor 2,CHEMBL3785
Autotaxin,CHEMBL3691
Receptor-type tyrosine-protein phosphatase eta,CHEMBL3692
Serine/threonine-protein phosphatase PP1-beta catalytic subunit,CHEMBL4546
Cytochrome P450 2J2,CHEMBL3491
Proteasome Macropain subunit,CHEMBL3492
NADP-dependent malic enzyme,CHEMBL3495
Lymphocyte differentiation antigen CD38,CHEMBL4660
Receptor-type tyrosine-protein phosphatase mu,CHEMBL4661
Proteasome Macropain subunit MB1,CHEMBL4662
Low molecular weight phosphotyrosine protein phosphatase,CHEMBL4903
Receptor-type tyrosine-protein phosphatase gamma,CHEMBL4905
Voltage-gated potassium channel subunit Kv1.4,CHEMBL4205
Proteasome component C5,CHEMBL4208
UDP-glucuronosyltransferase 2B7,CHEMBL4370
"Indoleamine 2,3-dioxygenase",CHEMBL4685
Galectin-1,CHEMBL4915
HLA-DR antigens-associated invariant chain,CHEMBL4692
Malonyl-CoA decarboxylase,CHEMBL4698
UDP-glucuronosyltransferase 2B17,CHEMBL4978
Endo-beta-N-acetylglucosaminidase,CHEMBL5172
Neuropilin-1,CHEMBL5174
Endoplasmic reticulum-associated amyloid beta-peptide-binding protein,CHEMBL4159
Cathepsin Z,CHEMBL4160
Fatty acid transport protein 2,CHEMBL4326
Fatty acid transport protein 4,CHEMBL4327
Fatty acid transport protein 5,CHEMBL5196
Betaine--homocysteine S-methyltransferase 1,CHEMBL4328
Photoreceptor-specific nuclear receptor,CHEMBL4374
Serine/threonine-protein kinase SRPK1,CHEMBL4375
Dual-specificity tyrosine-phosphorylation regulated kinase 2,CHEMBL4376
"Guanine nucleotide-binding protein G(s), subunit alpha",CHEMBL4377
Isoprenylcysteine carboxyl methyltransferase,CHEMBL4699
G-protein coupled receptor ChemR23,CHEMBL3540
Serine/threonine-protein kinase NIM1,CHEMBL3542
Orphan nuclear receptor LRH-1,CHEMBL3544
Steroidogenic factor 1,CHEMBL4666
Group III secretory phopholipase A2,CHEMBL4667
Mitogen-activated protein kinase 15,CHEMBL5198
MAP kinase-activated protein kinase 3,CHEMBL4670
MAP kinase-interacting serine/threonine-protein kinase MNK1,CHEMBL4718
Serine/threonine-protein kinase NEK7,CHEMBL4849
Serine/threonine-protein kinase MRCK-A,CHEMBL4516
Purinergic receptor P2Y14,CHEMBL4518
BR serine/threonine-protein kinase 2,CHEMBL4574
Dual-specificity tyrosine-phosphorylation regulated kinase 3,CHEMBL4575
Homeodomain-interacting protein kinase 2,CHEMBL4576
Homeodomain-interacting protein kinase 3,CHEMBL4577
Maternal embryonic leucine zipper kinase,CHEMBL4578
Serine/threonine-protein kinase PIM3,CHEMBL5407
Serine/threonine-protein kinase TBK1,CHEMBL5408
G-protein coupled bile acid receptor 1,CHEMBL5409
Metastin receptor,CHEMBL5413
Free fatty acid receptor 3,CHEMBL5201
Free fatty acid receptor 2,CHEMBL5493
Histone acetyltransferase p300,CHEMBL3784
Histone acetyltransferase PCAF,CHEMBL5500
Histone acetyltransferase GCN5,CHEMBL5501
Histone-lysine N-methyltransferase SETD7,CHEMBL5523
Protein-arginine N-methyltransferase 1,CHEMBL5524
Glycogen debranching enzyme,CHEMBL5272
Tyrosine-protein kinase receptor Tie-1,CHEMBL5274
Bone morphogenetic protein receptor type-1A,CHEMBL5275
Activin receptor type-1B,CHEMBL5310
Serine/threonine-protein kinase receptor R3,CHEMBL5311
Tyrosine-protein kinase receptor TYRO3,CHEMBL5314
Peroxiredoxin-1,CHEMBL5315
Serine/threonine-protein kinase PCTAIRE-3,CHEMBL5316
Apoptosis regulator BAX,CHEMBL5318
Epithelial discoidin domain-containing receptor 1,CHEMBL5319
Myotonin-protein kinase,CHEMBL5320
Eukaryotic translation initiation factor 2-alpha kinase 4,CHEMBL5358
Serine/threonine protein kinase NLK,CHEMBL5364
DNA polymerase kappa,CHEMBL5365
Poly [ADP-ribose] polymerase 2,CHEMBL5366
DNA polymerase lambda,CHEMBL5367
Amiloride-sensitive cation channel 3,CHEMBL5368
Retinoblastoma-associated protein,CHEMBL5288
Calcitonin gene-related peptide 1,CHEMBL5293
Forkhead box protein O1,CHEMBL5294
Kinesin heavy chain isoform 5A,CHEMBL5295
Mitogen-activated protein kinase kinase kinase kinase 2,CHEMBL5330
Proto-oncogene tyrosine-protein kinase MER,CHEMBL5331
Mitogen-activated protein kinase 7,CHEMBL5332
Polyadenylate-binding protein 4,CHEMBL5333
Non-receptor tyrosine-protein kinase TNK1,CHEMBL5334
Baculoviral IAP repeat-containing protein 3,CHEMBL5335
Ectonucleoside triphosphate diphosphohydrolase 8,CHEMBL5338
G-protein coupled receptor 120,CHEMBL5339
Serine/threonine-protein kinase tousled-like 1,CHEMBL5388
Targeting protein for Xklp2,CHEMBL5389
Suppressor of fused homolog,CHEMBL5390
DNA polymerase iota,CHEMBL5391
ATP-binding cassette sub-family G member 2,CHEMBL5393
Serine/threonine-protein kinase SRPK3,CHEMBL5415
PITSLRE serine/threonine-protein kinase CDC2L2,CHEMBL5416
"Fatty acid-binding protein, liver",CHEMBL5421
Protein disulfide-isomerase,CHEMBL5422
Ribonuclease pancreatic,CHEMBL5425
Heat shock 70 kDa protein 1,CHEMBL5460
Zinc finger protein GLI1,CHEMBL5461
Baculoviral IAP repeat-containing protein 2,CHEMBL5462
Acid ceramidase,CHEMBL5463
Receptor-interacting serine/threonine-protein kinase 1,CHEMBL5464
Polycystin-2,CHEMBL5465
Activin receptor type-2B,CHEMBL5466
Bone morphogenetic protein receptor type-2,CHEMBL5467
Ras-specific guanine nucleotide-releasing factor 1,CHEMBL5468
Protein tyrosine kinase 2 beta,CHEMBL5469
Kinesin-like protein KIF22,CHEMBL5470
Nuclear receptor subfamily 1 group I member 3,CHEMBL5503
DNA polymerase eta,CHEMBL5542
Dual specificity tyrosine-phosphorylation-regulated kinase 1B,CHEMBL5543
Kinesin-like protein KIF3A,CHEMBL5544
Sn1-specific diacylglycerol lipase alpha,CHEMBL5545
Proto-oncogene tyrosine-protein kinase ROS,CHEMBL5568
Intestinal alkaline phosphatase,CHEMBL5573
PCNA-associated factor,CHEMBL5574
Lysyl-tRNA synthetase,CHEMBL5575
Kinesin-like protein KIF14,CHEMBL5576
Sonic hedgehog protein,CHEMBL5602
Nuclear receptor subfamily 0 group B member 2,CHEMBL5603
Dual specificity testis-specific protein kinase 1,CHEMBL5604
Mitogen-activated protein kinase kinase kinase 7-interacting protein 1,CHEMBL5605
Serine/threonine-protein kinase 11,CHEMBL5606
Rhodopsin kinase,CHEMBL5607
NT-3 growth factor receptor,CHEMBL5608
Bcl-2 homologous antagonist/killer,CHEMBL5609
Prostasin,CHEMBL5610
Serine/threonine-protein kinase MRCK gamma,CHEMBL5615
Endoplasmic reticulum aminopeptidase 2,CHEMBL5043
Serine/threonine-protein kinase Nek5,CHEMBL5044
Inositol hexakisphosphate and diphosphoinositol-pentakisphosphate kinase 1,CHEMBL5046
Serine/threonine-protein kinase ULK3,CHEMBL5047
Neutral cholesterol ester hydrolase 1,CHEMBL5048
Ectonucleoside triphosphate diphosphohydrolase 2,CHEMBL5049
Matrix metalloproteinase-24,CHEMBL5050
Transient receptor potential cation channel subfamily V member 2,CHEMBL5051
Serine/threonine-protein kinase MRCK beta,CHEMBL5052
Endothelial lipase,CHEMBL5080
Interleukin-1 receptor-associated kinase 3,CHEMBL5081
Serine/threonine-protein kinase 24,CHEMBL5082
Poly [ADP-ribose] polymerase 3,CHEMBL5083
Casein kinase I isoform gamma-3,CHEMBL5084
Wee1-like protein kinase 2,CHEMBL5095
Putative uncharacterized serine/threonine-protein kinase SgK110,CHEMBL5116
Zinc finger protein GLI2,CHEMBL5119
Non-secretory ribonuclease,CHEMBL5120
Mitogen-activated protein kinase 6,CHEMBL5121
Discoidin domain-containing receptor 2,CHEMBL5122
Neuropeptide S receptor,CHEMBL5162
T-cell-specific surface glycoprotein CD28,CHEMBL5191
"Solute carrier family 2, facilitated glucose transporter member 3",CHEMBL5215
Uridine 5'-monophosphate synthase,CHEMBL5216
Serine/threonine-protein kinase TNNI3K,CHEMBL5260
Serine/threonine-protein kinase TAO1,CHEMBL5261
G protein-regulated inducer of neurite outgrowth 1,CHEMBL5266
ADM2,CHEMBL5267
Glucose-6-phosphate 1-dehydrogenase,CHEMBL5347
High affinity immunoglobulin gamma Fc receptor I,CHEMBL5349
Bone morphogenetic protein 4,CHEMBL5350
Hepatocyte nuclear factor 4-alpha,CHEMBL5398
Pituitary adenylate cyclase-activating polypeptide type I receptor,CHEMBL5399
Signal transducer and activator of transcription 6,CHEMBL5401
Signal transducer and activator of transcription 5A,CHEMBL5403
Serine/threonine-protein kinase tousled-like 2,CHEMBL5404
Serine/threonine-protein kinase 32C,CHEMBL5405
Histone-arginine methyltransferase CARM1,CHEMBL5406
Myosin light chain kinase family member 4,CHEMBL5426
Homeodomain-interacting protein kinase 1,CHEMBL5427
Mitogen-activated protein kinase kinase kinase kinase 3,CHEMBL5432
Tryptophan 5-hydroxylase 2,CHEMBL5433
Serine/threonine-protein kinase ULK2,CHEMBL5435
Galectin-9,CHEMBL5474
Galectin-8,CHEMBL5475
Bone morphogenetic protein receptor type-1B,CHEMBL5476
Proteinase-activated receptor 3,CHEMBL5477
Hepatocyte growth factor,CHEMBL5479
Perforin-1,CHEMBL5480
Insulin receptor-related protein,CHEMBL5483
D-amino-acid oxidase,CHEMBL5485
Huntingtin,CHEMBL5514
Monoacylglycerol lipase ABHD12,CHEMBL5516
Secreted frizzled-related protein 1,CHEMBL5517
Misshapen-like kinase 1,CHEMBL5518
Serine/threonine-protein kinase DCLK2,CHEMBL5519
Casein kinase I isoform alpha-like,CHEMBL5520
Sn1-specific diacylglycerol lipase beta,CHEMBL5521
Transient receptor potential cation channel subfamily V member 3,CHEMBL5522
Myosin IIIA,CHEMBL5546
Ankyrin repeat and protein kinase domain-containing protein 1,CHEMBL5547
Prokineticin receptor 2,CHEMBL5548
Tubulin--tyrosine ligase,CHEMBL5549
"Chaperone activity of bc1 complex-like, mitochondrial",CHEMBL5550
Sodium/nucleoside cotransporter 1,CHEMBL5551
Serine/threonine-protein kinase 25,CHEMBL5552
ATP-dependent RNA helicase DDX3X,CHEMBL5553
Phosphatidylinositol-4-phosphate 3-kinase C2 domain-containing beta polypeptide,CHEMBL5554
Acyl-CoA desaturase,CHEMBL5555
Cyclin-dependent kinase 2-associated protein 1,CHEMBL5578
Citron Rho-interacting kinase,CHEMBL5579
Ectonucleotide pyrophosphatase/phosphodiesterase family member 3,CHEMBL5580
Ras-related C3 botulinum toxin substrate 2,CHEMBL5581
Carbonyl reductase [NADPH] 1,CHEMBL5586
Cyclic AMP-responsive element-binding protein 1,CHEMBL5587
Prolactin receptor,CHEMBL5588
Integrin alpha-2,CHEMBL4998
Aldo-keto reductase family 1 member C4,CHEMBL4999
Nuclear receptor subfamily 4 group A member 2,CHEMBL5002
Proto-oncogene C-crk,CHEMBL5005
G-protein coupled receptor 12,CHEMBL5006
Galectin-7,CHEMBL5008
Prokineticin receptor 1,CHEMBL5649
BR serine/threonine-protein kinase 1,CHEMBL5650
Serine/threonine-protein kinase 35,CHEMBL5651
Glucose-dependent insulinotropic receptor,CHEMBL5652
Myosin-IIIB,CHEMBL5654
Prostaglandin E synthase,CHEMBL5658
Serine/threonine-protein kinase RIO3,CHEMBL5659
Kinetochore protein NDC80 homolog,CHEMBL5660
Exportin-1,CHEMBL5661
Serine/threonine-protein kinase DCLK1,CHEMBL5683
"Muscle, skeletal receptor tyrosine protein kinase",CHEMBL5684
Solute carrier family 22 member 1,CHEMBL5685
Tryptophan 5-hydroxylase 1,CHEMBL5689
DNA ligase 1,CHEMBL5694
Gamma-glutamyltranspeptidase 1,CHEMBL5696
Tumor necrosis factor ligand superfamily member 6,CHEMBL5714
Paxillin,CHEMBL5715
Nuclear receptor subfamily 2 group C member 2,CHEMBL5716
Cell division protein kinase 8,CHEMBL5719
GMP synthase [glutamine-hydrolyzing],CHEMBL5721
Ectonucleoside triphosphate diphosphohydrolase 1,CHEMBL5722
Cyclin-dependent kinase-like 2,CHEMBL5728
CREB-binding protein,CHEMBL5747
Canalicular multispecific organic anion transporter 1,CHEMBL5748
Mitogen-activated protein kinase kinase kinase kinase 1,CHEMBL5749
Histone acetyltransferase KAT5,CHEMBL5750
Uncharacterized aarF domain-containing protein kinase 4,CHEMBL5753
MAP/microtubule affinity-regulating kinase 4,CHEMBL5754
Mitogen-activated protein kinase kinase kinase 7,CHEMBL5776
Bcl-2-like protein 11,CHEMBL5777
Forkhead box protein O3,CHEMBL5778
Linker for activation of T-cells family member 1,CHEMBL5779
Sodium/nucleoside cotransporter 2,CHEMBL5780
NUAK family SNF1-like kinase 1,CHEMBL5784
"Interferon-induced, double-stranded RNA-activated protein kinase",CHEMBL5785
Cation-dependent mannose-6-phosphate receptor,CHEMBL5788
Myelin-associated glycoprotein,CHEMBL5807
PITSLRE serine/threonine-protein kinase CDC2L1,CHEMBL5808
Ephrin type-A receptor 1,CHEMBL5810
Macrophage scavenger receptor types I and II,CHEMBL5811
Dynamin-2,CHEMBL5812
Tumor necrosis factor ligand superfamily member 10,CHEMBL5813
Peroxisomal multifunctional enzyme type 2,CHEMBL5814
C-C chemokine receptor type 9,CHEMBL5815
Signal transducer and activator of transcription 5B,CHEMBL5817
Serine/threonine-protein kinase PRKX,CHEMBL5818
Serine/threonine-protein kinase Nek4,CHEMBL5819
Aldo-keto reductase family 1 member C2,CHEMBL5847
Mas-related G-protein coupled receptor member X2,CHEMBL5849
Mas-related G-protein coupled receptor member X1,CHEMBL5850
Baculoviral IAP repeat-containing protein 8,CHEMBL5851
Pyroglutamylated RFamide peptide receptor,CHEMBL5852
Diacylglycerol O-acyltransferase 2,CHEMBL5853
Adenylate cyclase type 10,CHEMBL5854
Serine/threonine-protein kinase Nek1,CHEMBL5855
Serine/threonine-protein kinase PFTAIRE-2,CHEMBL5856
Trace amine-associated receptor 1,CHEMBL5857
D-aspartate oxidase,CHEMBL5887
Mitogen-activated protein kinase kinase kinase 14,CHEMBL5888
Kinesin-like protein KIF1B,CHEMBL5889
Endothelin-converting enzyme 2,CHEMBL5890
Protein arginine N-methyltransferase 3,CHEMBL5891
Endothelin B receptor-like protein 2,CHEMBL5892
Ribonuclease H1,CHEMBL5893
Lysine-specific demethylase 4A,CHEMBL5896
Ectonucleoside triphosphate diphosphohydrolase 3,CHEMBL5897
Lactoperoxidase,CHEMBL5898
Multifunctional protein ADE2,CHEMBL5922
Ubiquitin-like modifier-activating enzyme 1,CHEMBL5924
Ectonucleotide pyrophosphatase/phosphodiesterase family member 1,CHEMBL5925
Alanine aminotransferase 1,CHEMBL5929
Corticotropin-releasing factor-binding protein,CHEMBL5930
LIM domain kinase 2,CHEMBL5932
Phospholipid transfer protein,CHEMBL5962
Proteinase-activated receptor 2,CHEMBL5963
Aquaporin-4,CHEMBL5964
IgG receptor FcRn large subunit p51,CHEMBL5966
Kinesin-like protein KIF2C,CHEMBL5967
Lysophosphatidic acid receptor 4,CHEMBL5968
Phosphatidylinositol-4-phosphate 5-kinase type-1 alpha,CHEMBL5969
Mitogen-activated protein kinase kinase kinase 3,CHEMBL5970
Smoothened homolog,CHEMBL5971
Dehydrogenase/reductase SDR family member 9,CHEMBL5974
Serine/threonine-protein kinase RIO1,CHEMBL5975
Serine/threonine-protein kinase RIO2,CHEMBL6000
Elongation of very long chain fatty acids protein 1,CHEMBL6001
Cell division cycle 2-like protein kinase 6,CHEMBL6002
Testis-specific serine/threonine-protein kinase 1,CHEMBL6003
Queuine tRNA-ribosyltransferase,CHEMBL6004
Serine/threonine-protein kinase 33,CHEMBL6005
Serine/threonine-protein kinase ULK1,CHEMBL6006
Transient receptor potential cation channel subfamily A member 1,CHEMBL6007
Carbonyl reductase [NADPH] 3,CHEMBL6008
Diacylglycerol O-acyltransferase 1,CHEMBL6009
Cyclin-dependent kinase 2-associated protein 2,CHEMBL6010
"N(G),N(G)-dimethylarginine dimethylaminohydrolase 1",CHEMBL6036
Hepatocyte growth factor-like protein,CHEMBL6042
Proto-oncogene protein Wnt-3,CHEMBL6079
Serine/threonine-protein kinase SIK1,CHEMBL6082
Receptor-interacting serine/threonine-protein kinase 4,CHEMBL6083
Ras-related C3 botulinum toxin substrate 3,CHEMBL6087
Cell division control protein 42 homolog,CHEMBL6088
Ubiquitin-conjugating enzyme E2 N,CHEMBL6089
Actin-related protein 2,CHEMBL6090
Calmodulin,CHEMBL6093
Ras-related C3 botulinum toxin substrate 1,CHEMBL6094
Disintegrin and metalloproteinase domain-containing protein 33,CHEMBL6121
Group XIIA secretory phospholipase A2,CHEMBL6122
Serine/threonine-protein kinase DCLK3,CHEMBL6123
Serine/threonine-protein kinase PFTAIRE-1,CHEMBL6162
